EXP.	SYS_EN		PART	<dNch/deta>	E_<dNch/deta>	PART/PI		Stat_PART/PI	Syst_PART/PI	SystUnc_PART/PI	COMMENT
-------------------------------------------------------------------------------------------------------------------------------------------------------------- 
ALICE	pp_7		K0S	21.294000	0.639000	0.133208	0.000441	0.009564	0.004400	2*K0S_as_usual
ALICE	pp_7		K0S	16.513000	0.495000	0.131965	0.000273	0.009088	0.004072	2*K0S_as_usual
ALICE	pp_7		K0S	13.457000	0.404000	0.130246	0.000248	0.008898	0.004050	2*K0S_as_usual
ALICE	pp_7		K0S	11.507000	0.345000	0.129447	0.000285	0.008805	0.004046	2*K0S_as_usual
ALICE	pp_7		K0S	10.080000	0.303000	0.128490	0.000308	0.008691	0.004056	2*K0S_as_usual
ALICE	pp_7		K0S	8.447000	0.254000	0.127562	0.000232	0.008627	0.004063	2*K0S_as_usual
ALICE	pp_7		K0S	6.724000	0.207000	0.126210	0.000277	0.008525	0.004119	2*K0S_as_usual
ALICE	pp_7		K0S	5.398000	0.173000	0.123927	0.000304	0.008480	0.004239	2*K0S_as_usual
ALICE	pp_7		K0S	3.897000	0.143000	0.120373	0.000264	0.009451	0.005485	2*K0S_as_usual
ALICE	pp_7		K0S	2.261000	0.117000	0.108100	0.000252	0.011800	0.008011	2*K0S_as_usual
ALICE	pPb_5		K0S	45.150002	1.000000	0.141231	0.000401	0.010386	0.004796	2*K0S_as_usual
ALICE	pPb_5		K0S	36.220001	0.800000	0.139160	0.000439	0.010260	0.004686	2*K0S_as_usual
ALICE	pPb_5		K0S	30.459999	0.670000	0.138082	0.000342	0.010012	0.004586	2*K0S_as_usual
ALICE	pPb_5		K0S	23.240000	0.510000	0.135699	0.000281	0.009704	0.004419	2*K0S_as_usual
ALICE	pPb_5		K0S	16.080000	0.350000	0.132957	0.000339	0.009556	0.004393	2*K0S_as_usual
ALICE	pPb_5		K0S	9.820000	0.210000	0.130733	0.000427	0.009373	0.004277	2*K0S_as_usual
ALICE	pPb_5		K0S	4.410000	0.100000	0.124503	0.000666	0.009342	0.004471	2*K0S_as_usual
ALICE	PbPb_2.76	K0S	1601.000000	60.000000	0.147918	0.000000	0.016298	0.000000	2*K0S_as_usual
ALICE	PbPb_2.76	K0S	1294.000000	49.000000	0.145920	0.000000	0.016222	0.000000	2*K0S_as_usual
ALICE	PbPb_2.76	K0S	966.000000	37.000000	0.148811	0.000000	0.014025	0.000000	2*K0S_as_usual
ALICE	PbPb_2.76	K0S	537.500000	19.000000	0.150615	0.000000	0.017026	0.000000	2*K0S_as_usual
ALICE	PbPb_2.76	K0S	205.000000	7.500000	0.143580	0.000000	0.015075	0.000000	2*K0S_as_usual
ALICE	PbPb_2.76	K0S	55.500000	3.000000	0.142868	0.000000	0.011179	0.000000	2*K0S_as_usual
ALICE	PbPb_2.76	K0S	13.400000	1.414200	0.131241	0.000000	0.015600	0.000000	2*K0S_as_usual
ALICE	pp_7		Lambda	21.294000	0.639000	0.038644	0.000146	0.003255	0.001577	-
ALICE	pp_7		Lambda	16.513000	0.495000	0.038373	0.000095	0.003109	0.001420	-
ALICE	pp_7		Lambda	13.457000	0.404000	0.037853	0.000090	0.003079	0.001529	-
ALICE	pp_7		Lambda	11.507000	0.345000	0.037352	0.000096	0.003033	0.001676	-
ALICE	pp_7		Lambda	10.080000	0.303000	0.036983	0.000097	0.002993	0.001587	-
ALICE	pp_7		Lambda	8.447000	0.254000	0.036259	0.000087	0.002954	0.001665	-
ALICE	pp_7		Lambda	6.724000	0.207000	0.035556	0.000086	0.002934	0.001770	-
ALICE	pp_7		Lambda	5.398000	0.173000	0.034229	0.000104	0.002760	0.001374	-
ALICE	pp_7		Lambda	3.897000	0.143000	0.031599	0.000087	0.002986	0.001906	-
ALICE	pp_7		Lambda	2.261000	0.117000	0.024090	0.000084	0.003337	0.002589	-
ALICE	pPb_5		Lambda	45.150000	1.000000	0.040467	0.000126	0.004064	0.002053	-
ALICE	pPb_5		Lambda	36.220000	0.800000	0.039707	0.000134	0.003904	0.001927	-
ALICE	pPb_5		Lambda	30.460000	0.670000	0.039318	0.000115	0.003878	0.001927	-
ALICE	pPb_5		Lambda	23.240000	0.510000	0.038615	0.000101	0.003655	0.001688	-
ALICE	pPb_5		Lambda	16.080000	0.350000	0.037492	0.000113	0.003536	0.001596	-
ALICE	pPb_5		Lambda	9.820000	0.210000	0.035828	0.000143	0.003520	0.001807	-
ALICE	pPb_5		Lambda	4.410000	0.100000	0.030807	0.000232	0.003233	0.002084	-
ALICE	PbPb_2.76	Lambda	1601.000000	60.000000	0.034962	0.000000	0.004584	0.000000	-
ALICE	PbPb_2.76	Lambda	1294.000000	49.000000	0.035669	0.000000	0.004537	0.000000	-
ALICE	PbPb_2.76	Lambda	966.000000	37.000000	0.037203	0.000000	0.004896	0.000000	-
ALICE	PbPb_2.76	Lambda	537.500000	19.000000	0.038619	0.000000	0.005015	0.000000	-
ALICE	PbPb_2.76	Lambda	205.000000	7.500000	0.038972	0.000000	0.005082	0.000000	-
ALICE	PbPb_2.76	Lambda	55.500000	3.000000	0.036633	0.000000	0.004255	0.000000	-
ALICE	PbPb_2.76	Lambda	13.400000	1.414214	0.032424	0.000000	0.004952	0.000000	-
ALICE	pp_7		Xi	21.294000	0.639000	0.004792	0.000080	0.000383	0.000169	-
ALICE	pp_7		Xi	16.513000	0.495000	0.004550	0.000047	0.000358	0.000162	-
ALICE	pp_7		Xi	13.457000	0.404000	0.004592	0.000048	0.000370	0.000184	-
ALICE	pp_7		Xi	11.507000	0.345000	0.004350	0.000049	0.000357	0.000190	-
ALICE	pp_7		Xi	10.080000	0.303000	0.004158	0.000051	0.000359	0.000215	-
ALICE	pp_7		Xi	8.447000	0.254000	0.004027	0.000043	0.000354	0.000217	-
ALICE	pp_7		Xi	6.724000	0.207000	0.003737	0.000044	0.000347	0.000230	-
ALICE	pp_7		Xi	5.398000	0.173000	0.003501	0.000052	0.000349	0.000254	-
ALICE	pp_7		Xi	3.897000	0.143000	0.003031	0.000044	0.000354	0.000280	-
ALICE	pp_7		Xi	2.261000	0.117000	0.002150	0.000044	0.000342	0.000284	-
ALICE	pPb_5		Xi	45.150000	1.000000	0.005751	0.000049	0.000484	0.000195	-
ALICE	pPb_5		Xi	36.220000	0.800000	0.005625	0.000047	0.000497	0.000184	-
ALICE	pPb_5		Xi	30.460000	0.670000	0.005332	0.000035	0.000472	0.000172	-
ALICE	pPb_5		Xi	23.240000	0.510000	0.005058	0.000029	0.000456	0.000156	-
ALICE	pPb_5		Xi	16.080000	0.350000	0.004748	0.000042	0.000479	0.000150	-
ALICE	pPb_5		Xi	9.820000	0.210000	0.004220	0.000045	0.000391	0.000147	-
ALICE	pPb_5		Xi	4.410000	0.100000	0.003431	0.000084	0.000467	0.000163	-
ALICE	PbPb_2.76	Xi	55.500000	3.000000	0.004440	0.000000	0.000434	0.000000	-
ALICE	PbPb_2.76	Xi	205.000000	7.500000	0.005501	0.000000	0.000542	0.000000	-
ALICE	PbPb_2.76	Xi	537.500000	19.000000	0.005976	0.000000	0.000583	0.000000	-
ALICE	PbPb_2.76	Xi	966.000000	37.000000	0.005661	0.000000	0.000554	0.000000	-
ALICE	PbPb_2.76	Xi	1447.500000	54.500000	0.004987	0.000000	0.000499	0.000000	-
ALICE	pp_7		Omega	17.470000	0.524000	0.000498	0.000016	0.000052	0.000018	-
ALICE	pp_7		Omega	12.481000	0.375000	0.000422	0.000016	0.000047	0.000025	-
ALICE	pp_7		Omega	8.990000	0.271000	0.000338	0.000011	0.000037	0.000018	-
ALICE	pp_7		Omega	6.057000	0.190000	0.000309	0.000020	0.000042	0.000030	-
ALICE	pp_7		Omega	2.886000	0.135000	0.000191	0.000020	0.000037	0.000027	-
ALICE	pPb_5		Omega	45.150000	1.000000	0.000637	0.000026	0.000088	0.000031	-
ALICE	pPb_5		Omega	36.220000	0.800000	0.000650	0.000026	0.000094	0.000032	-
ALICE	pPb_5		Omega	30.460000	0.670000	0.000595	0.000023	0.000084	0.000031	-
ALICE	pPb_5		Omega	23.240000	0.510000	0.000552	0.000021	0.000077	0.000033	-
ALICE	pPb_5		Omega	16.080000	0.350000	0.000471	0.000018	0.000070	0.000032	-
ALICE	pPb_5		Omega	9.820000	0.210000	0.000444	0.000024	0.000073	0.000034	-
ALICE	pPb_5		Omega	4.410000	0.100000	0.000320	0.000020	0.000069	0.000038	-
ALICE	PbPb_2.76	Omega	55.500000	3.000000	0.000592	0.000000	0.000099	0.000000	-
ALICE	PbPb_2.76	Omega	205.000000	7.500000	0.000874	0.000000	0.000159	0.000000	-
ALICE	PbPb_2.76	Omega	537.500000	19.000000	0.000947	0.000000	0.000169	0.000000	-
ALICE	PbPb_2.76	Omega	966.000000	37.000000	0.000859	0.000000	0.000175	0.000000	-
ALICE	PbPb_2.76	Omega	1447.500000	54.500000	0.000890	0.000000	0.000155	0.000000	-
ALICE	PbPb_5		K0S	1942.50		26.75		0.15201		0.00023		0.01255		0.000000	2*K0S_as_usual
ALICE	PbPb_5		K0S	1585.50		23.00		0.15427		0.00024		0.01291		0.000000	2*K0S_as_usual
ALICE	PbPb_5		K0S	1180.00		31.00		0.15601		0.00021		0.01299		0.000000	2*K0S_as_usual
ALICE	PbPb_5		K0S	786.00		20.00		0.15414		0.00022		0.01256		0.000000	2*K0S_as_usual
ALICE	PbPb_5		K0S	512.00		15.00		0.15369		0.00025		0.01263		0.000000	2*K0S_as_usual
ALICE	PbPb_5		K0S	318.00		12.00		0.15265		0.00027		0.01272		0.000000	2*K0S_as_usual
ALICE	PbPb_5		K0S	183.00		8.00		0.14793		0.00032		0.01296		0.000000	2*K0S_as_usual
ALICE	PbPb_5		K0S	96.30		5.80		0.14589		0.00040		0.01286		0.000000	2*K0S_as_usual
ALICE	PbPb_5		K0S	44.90		3.40		0.14182		0.00045		0.01269		0.000000	2*K0S_as_usual
ALICE	PbPb_5		K0S	17.52		1.84		0.14139		0.00096		0.01326		0.000000	2*K0S_as_usual
ALICE	PbPb_5		Lambda	1942.50		26.75		0.03979		0.00012		0.00466		0.000000	2*Lambda_as_usual
ALICE	PbPb_5		Lambda	1585.50		23.00		0.04008		0.00012		0.00470		0.000000	2*Lambda_as_usual
ALICE	PbPb_5		Lambda	1180.00		31.00		0.04070		0.00010		0.00474		0.000000	2*Lambda_as_usual
ALICE	PbPb_5		Lambda	786.00		20.00		0.04115		0.00011		0.00476		0.000000	2*Lambda_as_usual
ALICE	PbPb_5		Lambda	512.00		15.00		0.04155		0.00013		0.00485		0.000000	2*Lambda_as_usual
ALICE	PbPb_5		Lambda	318.00		12.00		0.04173		0.00011		0.00491		0.000000	2*Lambda_as_usual
ALICE	PbPb_5		Lambda	183.00		8.00		0.04158		0.00010		0.00498		0.000000	2*Lambda_as_usual
ALICE	PbPb_5		Lambda	96.30		5.80		0.04126		0.00017		0.00496		0.000000	2*Lambda_as_usual
ALICE	PbPb_5		Lambda	44.90		3.40		0.04183		0.00035		0.00523		0.000000	2*Lambda_as_usual
ALICE	PbPb_5		Lambda	17.52		1.84		0.04057		0.00088		0.00535		0.000000	2*Lambda_as_usual
ALICE	PbPb_5		Xi	1764		24.875		0.00690318	5.03177e-05	0.000787808	0.000000	-
ALICE	PbPb_5		Xi	1180		31		0.00687327	4.58698e-05	0.000780633	0.000000	-
ALICE	PbPb_5		Xi	786		20		0.00686382	5.66266e-05	0.000780428	0.000000	-
ALICE	PbPb_5		Xi	512		15		0.00673397	5.50682e-05	0.000780498	0.000000	-
ALICE	PbPb_5		Xi	318		12		0.00658004	5.56186e-05	0.000819446	0.000000	-
ALICE	PbPb_5		Xi	183		8		0.00622702	6.37967e-05	0.000796147	0.000000	-
ALICE	PbPb_5		Xi	96.3		5.8		0.00606999	9.13138e-05	0.000823961	0.000000	-
ALICE	PbPb_5		Xi	44.9		3.4		0.0054785	0.000133371	0.000765853	0.000000	-
ALICE	PbPb_5		Xi	17.52		1.84068		0.00511665	0.00023108	0.000736525	0.000000	-
ALICE	PbPb_5		Omega	1764		24.875		0.000776153	1.12583e-05	0.000140938	0.000000	-
ALICE	PbPb_5		Omega	1180		31		0.000807629	1.27204e-05	0.000135188	0.000000	-
ALICE	PbPb_5		Omega	786		20		0.00075981	1.08565e-05	0.000126837	0.000000	-
ALICE	PbPb_5		Omega	512		15		0.000752676	1.17601e-05	0.000126256	0.000000	-
ALICE	PbPb_5		Omega	318		12		0.000764231	3.54676e-05	0.000150032	0.000000	-
ALICE	PbPb_5		Omega	183		8		0.000718017	1.39134e-05	0.000112145	0.000000	-
ALICE	PbPb_5		Omega	96.3		5.8		0.000590678	1.97213e-05	9.78862e-05	0.000000	-

ALICE	pp_7		phi	21.29		0.639		0.0169		0.0005		0.0012		0.0010		-
ALICE	pp_7		phi	16.51		0.495		0.0166		0.0003		0.0012		0.0008		-
ALICE	pp_7		phi	13.46		0.404		0.0170		0.0003		0.0013		0.0008		-
ALICE	pp_7		phi	10.79		0.324		0.0167		0.0002		0.0011		0.0007		-
ALICE	pp_7		phi	8.45		0.254		0.0158		0.0002		0.0011		0.0007		-
